INPUT:text	INPUT:part	GOLDEN:characteristic
Болт 16*70	Болт	name
Болт 16*70	16*70	size
Болт 16х70 оцинк.	Болт	name
Болт 16х70 оцинк.	16х70	size
Болт 16х70 оцинк.	оцинк.	material
Болт	Болт	name
Брусок лодочка	Брусок	name
Брусок лодочка	лодочка	name
Бумага для оргтехники А4	Бумага	name
Бумага для оргтехники А4	для	destination
Бумага для оргтехники А4	оргтехники	destination
Бумага для оргтехники А4	А4	type
Бур 12х210	Бур	name
Бур 12х210	12х210	size
Бур по бетону	Бур	name
Бур по бетону	по	destination
Бур по бетону	бетону	destination
Вата 250 г	Вата	name
Вата 250 г	250	weight
Вата 250 г	г	weight
Вата хирургическая (мед-ты)	Вата	name
Вата хирургическая (мед-ты)	хирургическая	type
Вата стерильная	Вата	name
Вата стерильная	стерильная	type
Вата стерильная 250гр.	Вата	name
Вата стерильная 250гр.	стерильная	type
Вата стерильная 250гр.	250гр.	weight
Вилка 015 3Р+Е+N 16А 380В	Вилка	name
Вилка 015 3Р+Е+N 16А 380В	015	model
Вилка 015 3Р+Е+N 16А 380В	3Р+Е+N	type
Вилка 015 3Р+Е+N 16А 380В	16А	physics
Вилка 015 3Р+Е+N 16А 380В	380В	physics
Круг отрезной 125х1,6	Круг	name
Круг отрезной 125х1,6	отрезной	type
Круг отрезной 125х1,6	125х1,6	size
Круг отрезной Ф125	Круг	name
Круг отрезной Ф125	отрезной	type
Круг отрезной Ф125	Ф125	model
Прибор Гранд Магистр 2А	Гранд	producer
Прибор Гранд Магистр 2А	Магистр	producer
Прибор Гранд Магистр 2А	2А	physics
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	Розетка	name
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	внешняя	type
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	RJ-45	model
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	(экран.)	type
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	кат.5е	type
Розетка внешняя RJ-45 (экран.) кат.5е универсальная	универсальная	destination
Рукав с нитяной оплеткой 38х49мм	38х49мм	size
Рукав 1SN50 	Рукав	name
Рукав 1SN50 	1SN50	model
Прибор световой LP001	LP001	model
Прибор световой BMS RGBW72	Прибор	 name
Прибор световой BMS RGBW72	RGBW72	model
Светильник для теплиц ЖСП 50-400-002.У5	Светильник	name
Светильник для теплиц ЖСП 50-400-002.У5	для	destination
Светильник для теплиц ЖСП 50-400-002.У5	теплиц	destination
Светильник для теплиц ЖСП 50-400-002.У5	ЖСП	material
Светильник для теплиц ЖСП 50-400-002.У5	50-400-002.У5	model
Скобы №23/10 для степлера	Скобы	name
Скобы №23/10 для степлера	№23/10	model
Скобы №23/10 для степлера	для	destination
Скобы №23/10 для степлера	степлера	destination
Скобы №24/6 для степлера	Скобы	name
Скобы №24/6 для степлера	№24/6	model
Скобы №24/6 для степлера	для	destination
Скобы №24/6 для степлера	степлера	destination
Скобы №10 для степлера	Скобы	name
Скобы №10 для степлера	№10	model
Скобы №10 для степлера	для	destination
Скобы №10 для степлера	степлера	destination
Труба медная 1/4* ASTM D280	Труба	name
Труба медная 1/4* ASTM D280	медная	material
Труба медная 1/4* ASTM D280	D280	model
Труба гофрированная ПВХ 20мм с протяжкой	Труба	name
Труба гофрированная ПВХ 20мм с протяжкой	ПВХ	material
Труба гофрированная ПВХ 20мм с протяжкой	20мм	size
